Function,R2 Score,R2 Score KAN
I.12.1,1.0,0.9971469044685364
I.12.4,0.4226856231689453,0.6838010549545288
I.12.5,0.8373446464538574,0.997463047504425
I.14.3,0.4134185314178467,0.9926515221595764
I.14.4,0.9363306760787964,0.9749869704246521
I.18.12,-0.00892484188079834,0.9162073135375977
I.25.13,0.998503565788269,0.9992122650146484
I.26.2,0.9138030409812927,0.9986716508865356
I.27.6,0.016332566738128662,0.984415590763092
I.30.5,0.0,0.9984101057052612
I.43.16,0.0,0.9897173643112183
I.47.23,0.9992042779922485,0.9960673451423645
II.10.9,0.9940884709358215,0.9977333545684814
II.11.17,0.8251376748085022,0.8246442079544067
II.15.4,0.4729071259498596,0.9761331677436829
II.15.5,0.5124426484107971,0.97659832239151
II.2.42,0.005130469799041748,0.5968936681747437
II.27.16,-0.02043008804321289,0.980337381362915
II.27.18,0.9748739004135132,0.987328290939331
II.3.24,0.8823127746582031,0.8892852067947388
II.34.11,-0.0007129907608032227,0.9876998066902161
II.34.29b,-0.0006777048110961914,0.9808176755905151
II.38.14,0.9090773463249207,0.9924777746200562
II.38.3,-0.0009131431579589844,0.9895644783973694
II.4.23,-0.26063597202301025,-0.0012382268905639648
II.8.31,0.18050378561019897,0.9871248006820679
III.12.43,0.24814116954803467,0.9917421340942383
III.15.27,0.9984528422355652,0.9998616576194763
III.7.38,0.9639506340026855,0.9981746673583984
